"group","comparison","estimate","CI_lower","CI_upper","p_value","n_yes_group","n_no_group","n_yes_other","n_no_other","p_fdr"
"75_01","all_other",1.0256145453617,0.815403462062518,1.27725000218327,0.822095014547993,92,679,24534,185709,0.952736896063388
"80_11","all_other",1.01107943659038,0.844363606318293,1.20334634128934,0.894086440054768,146,1093,24480,185295,0.962245496023069
"80_09","all_other",1.03077863091581,0.86487544661674,1.2214135680835,0.727310174009042,154,1131,24472,185257,0.884745502704363
"80_04","all_other",0.940383364839952,0.762353745303451,1.15028116161846,0.582812488989461,108,869,24518,185519,0.829161988650212
"80_08","all_other",0.984903927758444,0.802689154642618,1.19892876161731,0.920976771980391,114,876,24512,185512,0.974073182164945
"80_05","all_other",1.01563668916152,0.868519614174803,1.18230649340734,0.846119160752544,192,1431,24434,184957,0.953373702256387
"80_10","all_other",0.925220184098305,0.764802790817928,1.11155397581593,0.441922498542696,130,1063,24496,185325,0.731457928622394
"80_06","all_other",1.26453423359707,1.07013515744463,1.48691469734383,0.00544722184597817,174,1043,24452,185345,0.0484197497420282
"80_07","all_other",0.935324215234434,0.804833169618146,1.08233540860167,0.385555302232894,206,1666,24420,184722,0.693464522514733
"80_02","all_other",1.07079271420807,0.898085359137019,1.26938493969257,0.425143664365375,154,1089,24472,185299,0.713527828305524
"80_03","all_other",0.774291798790256,0.604048730040911,0.980321727571988,0.0343126321156502,77,752,24549,185636,0.171563160578251
"80_01","all_other",1.1920021899201,1.00207721175515,1.41034308944091,0.0450007094809214,160,1017,24466,185371,0.207695582219637
"85_09","all_other",0.784287344364466,0.650231992529717,0.939342194412993,0.00754830572884626,132,1272,24494,185116,0.0634581151893695
"85_06","all_other",1.00644763005601,0.840532465137006,1.19773752120047,0.929428161315718,146,1098,24480,185290,0.974073182164945
"85_02","all_other",0.988140801279624,0.817496259466341,1.18634297593217,0.926448392176948,132,1011,24494,185377,0.974073182164945
"85_04","all_other",1.19799409007577,0.993950010433428,1.43491899174202,0.0502930324064776,139,879,24487,185509,0.211473259382243
"85_10","all_other",1.10333317052576,0.916318056248449,1.3202387819772,0.277353396925228,139,954,24487,185434,0.57759428048928
"85_03","all_other",1.03031024880277,0.869359518627408,1.21449648322456,0.703998349718328,164,1205,24462,185183,0.870925793465972
"85_01","all_other",1.0426454371254,0.885012273066108,1.22217957005107,0.594232758532652,176,1278,24450,185110,0.829161988650212
"85_08","all_other",1.01535119460424,0.858200627977427,1.19493253485709,0.835346017624447,167,1245,24459,185143,0.953373702256387
"85_05","all_other",1.12642940399237,0.92915895659243,1.35642518025988,0.200476014056437,130,874,24496,185514,0.485698352729648
"85_07","all_other",1.00483969238863,0.850274201464446,1.18130521899837,0.934426054984348,169,1273,24457,185115,0.975030603316417
"85_11","all_other",1.14247958384131,0.97381150226503,1.33418349899689,0.097807821111834,187,1240,24439,185148,0.306371440514975
"90_07","all_other",0.929737280776061,0.769072947978694,1.11628258227667,0.469997636029135,131,1066,24495,185322,0.737251193771192
"90_01","all_other",1.12664211152713,0.945017875534269,1.33564259769074,0.17542822794459,155,1042,24471,185346,0.44586802756695
"90_10","all_other",0.968982425965951,0.810062809698271,1.15201066412103,0.76121175926174,147,1148,24479,185240,0.9089095632976
"90_09","all_other",0.764854996093665,0.640722416982022,0.907335605140492,0.00174005612436,147,1452,24479,184936,0.0272558542162412
"90_06","all_other",0.882380656621565,0.751839328231592,1.0305168661319,0.114566710377201,181,1551,24445,184837,0.339456919636151
"90_02","all_other",0.980993063164091,0.835480896153474,1.14625226012203,0.844406900364766,182,1404,24444,184984,0.953373702256387
"90_08","all_other",1.07043815351982,0.878507105089866,1.29480147539301,0.487796352210161,123,870,24503,185518,0.755297577615734
"90_03","all_other",1.11960128309622,0.921432711598764,1.35107333914891,0.232866217306561,127,859,24499,185529,0.529625249436651
"90_11","all_other",1.0330920541848,0.884380647320401,1.20138273235674,0.669525633546287,195,1429,24431,184959,0.868573794870859
"90_05","all_other",0.995867812465347,0.815932078935512,1.20642099148806,1,120,912,24506,185476,1
"90_04","all_other",1.04861362474977,0.872506058697869,1.25230042684844,0.582153624817747,141,1018,24485,185370,0.829161988650212
"95_09","all_other",0.72079458608086,0.613628958839091,0.842258048415434,1.79733551713568e-05,176,1843,24450,184545,0.000718934206854273
"95_06","all_other",1.10356915304114,0.869333952937217,1.38637067528667,0.400649358996398,86,590,24540,185798,0.693464522514733
"95_01","all_other",0.962249598449197,0.833581460639535,1.10645689992606,0.62443785008017,226,1777,24400,184611,0.841938674265398
"95_11","all_other",0.874679273807306,0.735443887222597,1.03422232244507,0.124368006374718,155,1340,24471,185048,0.359618331685932
"95_07","all_other",0.451777405298303,0.119607790445928,1.21174397492016,0.137753381171871,4,67,24622,186321,0.380413033855581
"95_02","all_other",0.904771630946974,0.765547436162547,1.06360411556859,0.235515751696625,167,1396,24459,184992,0.529625249436651
"95_05","all_other",0.8800411522259,0.770864787790239,1.00137653185997,0.0525564841580174,262,2250,24364,184138,0.21378908810041
"95_10","all_other",0.885239377841256,0.589411840209333,1.28740514363406,0.586806229784078,31,265,24595,186123,0.829161988650212
"95_03","all_other",0.873924002545516,0.722789700191418,1.04931064064026,0.158081361409903,130,1125,24496,185263,0.412386160199747
"95_08","all_other",1.03295916762611,0.776868215880018,1.35266849701301,0.782180958645359,61,447,24565,185941,0.92474596096003
"95_04","all_other",0.853053913365813,0.677953402764676,1.06236479935528,0.157588629250189,90,798,24536,185590,0.412386160199747
