"group","comparison","estimate","CI_lower","CI_upper","p_value","n_yes_group","n_no_group","n_yes_other","n_no_other","p_fdr"
"70_06","70_other",0.870700856912259,0.695034896313778,1.08149576113263,0.227852344377543,100,773,1547,10412,0.675118057414941
"70_03","70_other",0.951227614779241,0.769272813294441,1.16766301104615,0.683061039693094,114,811,1533,10374,1
"70_11","70_other",0.982002607383558,0.744334042673818,1.27862863082034,0.94714537507531,67,463,1580,10722,1
"70_01","70_other",1.05862137601531,0.881811799575323,1.26457440974388,0.522196243104017,158,1019,1489,10166,0.908167379311334
"70_04","70_other",1.01615704089721,0.868110379421527,1.18547474595674,0.844831278001836,218,1460,1429,9725,1
"70_08","70_other",0.98829510726422,0.770611736471979,1.25434314472737,1,83,570,1564,10615,1
"70_05","70_other",1.02309865244689,0.788398236883035,1.31260696641727,0.848985495949534,76,505,1571,10680,1
"75_09","75_other",1.07480335057059,0.862711548222915,1.32866411054262,0.509948945708722,107,709,1536,10939,0.899909904191862
"75_03","75_other",1.05156459391054,0.891971215855055,1.2349923288148,0.536105991262672,197,1336,1446,10312,0.925650632395981
"75_08","75_other",1.02137456652457,0.850090657824422,1.22083582179021,0.820326841816205,155,1078,1488,10570,1
"75_05","75_other",0.97448740675819,0.815263801267095,1.15917269416504,0.793907810423299,164,1190,1479,10458,1
"75_10","75_other",0.953808122939157,0.817002542926745,1.10985676260841,0.570397221520598,224,1654,1419,9994,0.937639268253037
"75_06","75_other",0.966718351947258,0.788734143402006,1.17702768322093,0.7676573302364,124,907,1519,10741,1
"75_02","75_other",1.01185672161599,0.837865127043512,1.2152613575135,0.889072523723072,146,1024,1497,10624,1
"75_11","75_other",1.00581355968153,0.836337049013162,1.20333833755616,0.927653565428403,153,1079,1490,10569,1
"75_04","75_other",1.01415064957022,0.845979526955819,1.2096954636179,0.857897082980152,159,1113,1484,10535,1
"75_07","75_other",0.982691122097157,0.800325387902193,1.19844863301455,0.920437741814776,122,879,1521,10769,1
"75_01","75_other",0.958234148908128,0.757254156289674,1.20126152161668,0.777989585770672,92,679,1551,10969,1
"80_11","80_other",0.994510129404637,0.823959754851358,1.19376514829839,1,146,1093,1469,10937,1
"80_09","80_other",1.01576789616249,0.845332810306112,1.21422009465456,0.856018441394671,154,1131,1461,10899,1
"80_04","80_other",0.920416844852681,0.741153088009366,1.13407829921282,0.471710045387061,108,869,1507,11161,0.870849314560727
"80_08","80_other",0.967051614367755,0.782724313297774,1.18605581216891,0.798376380367988,114,876,1501,11154,1
"80_05","80_other",0.999359179520208,0.846637100136901,1.17492191127647,1,192,1431,1423,10599,1
"80_10","80_other",0.903197006274565,0.740981472750265,1.09380069314013,0.324401341819804,130,1063,1485,10967,0.750574639495496
"80_06","80_other",1.27195443827015,1.06718010088662,1.50948032548889,0.00694002276060589,174,1043,1441,10987,0.111040364169694
"80_07","80_other",0.909518914674385,0.774981134799703,1.06343525777313,0.247834940361613,206,1666,1409,10364,0.688368074348333
"80_02","80_other",1.0590158666871,0.881015148680887,1.26644926023236,0.519237781324577,154,1089,1461,10941,0.908167379311334
"80_03","80_other",0.75085739592344,0.582463086878869,0.956583191741383,0.0196527205390114,77,752,1538,11278,0.181066370672843
"80_01","80_other",1.19076411364771,0.99277289736999,1.42137748187372,0.0529579577507103,160,1017,1455,11013,0.334471312109749
"85_09","85_other",0.740768979259492,0.609709053868339,0.894232073609589,0.00134151867307376,132,1272,1549,11057,0.0804911203844257
"85_06","85_other",0.972880757013832,0.806343533513647,1.16729527282727,0.819214779479216,146,1098,1535,11231,1
"85_02","85_other",0.953976764520404,0.783588364167264,1.15420047973344,0.669030020245709,132,1011,1549,11318,1
"85_04","85_other",1.17417197764273,0.967086550871865,1.41749990344108,0.098191150096767,139,879,1542,11450,0.462076000455374
